animal_product_id,quality,price,energy,health
1,1,50,25,11
1,2,62,35,15
1,3,75,45,20
1,4,100,65,29
2,1,95,38,17
2,2,118,53,23
2,3,142,68,30
2,4,190,98,44
3,1,50,25,11
3,2,62,35,15
3,3,75,45,20
3,4,100,65,29
4,1,95,38,17
4,2,118,53,23
4,3,142,68,30
4,4,190,98,44
5,1,65,None,None
5,2,81,None,None
5,3,97,None,None
5,4,130,None,None
6,1,500,25,11
6,2,625,35,15
6,3,750,45,20
6,4,1000,65,29
7,1,600,38,17
7,2,750,53,23
7,3,900,68,30
7,4,1200,98,44
8,1,250,None,None
8,2,312,None,None
8,3,375,None,None
8,4,500,None,None
9,1,95,38,17
9,2,118,53,23
9,3,142,68,30
9,4,190,98,44
10,1,340,None,None
10,2,425,None,None
10,3,510,None,None
10,4,680,None,None
11,1,565,None,None
11,2,706,None,None
11,3,847,None,None
11,4,1130,None,None
12,1,125,38,17
12,2,156,53,23
12,3,187,68,30
12,4,250,98,44
13,1,190,50,22
13,2,237,70,31
13,3,285,90,40
13,4,380,130,58
14,1,225,63,28
14,2,281,88,39
14,3,337,113,50
14,4,450,163,73
15,1,345,88,39
15,2,431,123,55
15,3,517,158,71
15,4,690,228,102
16,1,340,None,None
16,2,425,None,None
16,3,510,None,None
16,4,680,None,None
17,1,625,13,5
17,2,781,18,8
17,3,937,23,10
17,4,1250,33,14
18,1,350,None,None
18,2,437,None,None
18,3,525,None,None
18,4,700,None,None
